org:resource_acc,Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
0.827948272228241,0.7094776034355164,0.7576736211776733,0.7924070954322815,0.7539041042327881,0.7837910056114197,0.969574511051178,0.03957996517419815,0.13583467155694962,0.3222065188667991,14.712407355958765,0.13637417554855347,0.32252705097198486
0.8381798267364502,0.6515885591506958,0.7423263192176819,0.7512115836143494,0.7522885799407959,0.7964458465576172,0.8817985653877258,0.03957996517419815,0.3448794457045468,0.2648682634938847,15.150037290020423,0.34555310010910034,0.2642252445220947
0.8414108157157898,0.6688206195831299,0.7320947647094727,0.751750111579895,0.7522885799407959,0.788368284702301,0.969574511051178,0.03957996517419815,0.4666424718770114,0.39438641613179987,15.188059764829548,0.4672001302242279,0.3951405882835388
0.827948272228241,0.6739364266395569,0.7490575909614563,0.7565966248512268,0.7536348700523376,0.787022054195404,0.969574511051178,0.03957996517419815,0.2292060377922925,0.33212379162961786,14.974464530971916,0.22871015965938568,0.33108457922935486
0.827948272228241,0.6774367094039917,0.7121701240539551,0.7665589451789856,0.7522885799407959,0.8042541146278381,0.969574511051178,0.03957996517419815,0.15598251738331534,0.2696022702889009,14.671727165241133,0.15609301626682281,0.2695295810699463
0.8414108157157898,0.7334409952163696,0.7662896513938904,0.7606353759765625,0.7522885799407959,0.7813677787780762,0.969574511051178,0.03957996517419815,0.06171284853057428,0.22502562674609097,14.512259102341803,0.06160803511738777,0.2248895913362503
0.8152934312820435,0.6494345664978027,0.7549811005592346,0.7434033155441284,0.7522885799407959,0.7967150807380676,0.969574511051178,0.03957996517419815,0.2428146329793063,0.22727970101616599,14.848809127103198,0.2425774186849594,0.22685687243938446
0.827948272228241,0.7067850828170776,0.7334409952163696,0.7458265423774719,0.7522885799407959,0.8007538914680481,0.969574511051178,0.03957996517419815,0.05257468365810134,0.29356345534324646,14.508621401068838,0.05243091285228729,0.29321083426475525
0.8171781897544861,0.7180936932563782,0.7641356587409973,0.7689821720123291,0.7522885799407959,0.7670974135398865,0.969574511051178,0.03957996517419815,0.04324228452010588,0.24232800033959476,14.512979085472496,0.0430133230984211,0.24132438004016876
0.827948272228241,0.7148626446723938,0.7568658590316772,0.7794830203056335,0.7525578737258911,0.7913300395011902,0.969574511051178,0.03957996517419815,0.09544268656860698,0.22383872893723575,14.5529501600699,0.09508860856294632,0.22271260619163513
